dataset,accuracy
mnist80,0.9796
mnist90,0.9796
mnist95,0.9796
fashion80,0.8717
fashion90,0.8717
fashion95,0.8717
Kaz80,0.9104
Kaz90,0.9104
Kaz95,0.9104
